area,bedrooms,bathrooms,price
1000,2,1,3000000
1200,2,2,3500000
1500,3,2,4500000
1800,3,3,5500000
2000,4,3,6500000
2200,4,4,7000000
2500,4,4,8000000
2700,5,4,9000000
3000,5,5,10000000
3200,5,5,11000000
3679,5,5,11437460.081921887
4363,3,2,13299397.192167955
1636,2,5,5157485.673567387
2224,1,1,6752268.143059394
4552,3,3,13895112.823497724
3603,5,1,11088653.554590749
1741,5,3,5562784.22652345
2071,3,2,6422734.19934939
4159,1,1,12557346.583648168
2517,5,3,7890578.55707029
2105,5,2,6625001.525577514
3281,2,2,10003885.60096499
4948,1,2,14953423.772262232
2356,2,1,7197237.638800838
3371,1,2,10222037.412357617
3432,2,2,10456100.506982777
1944,2,3,6022399.5872701565
1042,5,4,3495635.164754843
2288,4,4,7183695.323444524
3827,1,2,11591084.633315012
1512,2,2,4695416.094597883
4915,4,5,15094675.21813736
1751,1,2,5363558.75205762
3276,5,2,10137831.536740199
2637,3,4,8181314.214059203
2347,1,5,7240232.175877092
4626,4,1,14107842.388921352
2150,2,1,6579377.893066829
1830,1,3,5630379.838577566
3050,5,3,9489423.510610867
2870,4,1,8839022.112697229
2703,4,3,8399129.788979651
1893,3,5,5978527.85516615
1244,5,3,4072127.5927594528
2549,3,4,7916524.007925685
1792,3,1,5556080.900315531
3839,4,5,11867239.628392227
2978,3,4,9204524.595783317
3535,1,2,10714402.736251587
4633,5,1,14179251.544524953
3849,2,5,11796295.555839712
4442,1,2,13435592.800431088
4847,4,2,14800068.020687833
2715,1,5,8345914.308715812
2035,4,5,6455809.226474939
2139,3,4,6686194.78817676
3386,5,4,10528221.029115254
2062,3,1,6365376.762357775
4248,5,5,13143129.616451154
4050,3,5,12450004.18756889
4863,5,5,14989009.108291814
3467,1,1,10480797.07011821
1928,1,2,5894088.221683771
1791,3,3,5612313.08505732
1236,5,1,3988344.2918373295
4336,2,4,13227189.312986346
4774,4,3,14612335.93668772
4320,2,5,13210793.362610033
4792,4,1,14606500.833783843
1356,3,3,4308541.766046509
1128,2,3,3573354.2834670395
2442,2,2,7486563.537429556
2923,1,3,8909910.893469028
4355,5,1,13345205.930004528
3207,5,1,9901309.260051059
4503,2,1,13639478.349711513
4575,4,5,14074332.804160412
2154,2,1,6592115.244289722
3822,4,2,11726212.026984947
3387,3,1,10340139.533370627
4446,4,5,13688719.689475115
3729,4,5,11537477.255506024
1102,2,4,3526954.347357042
4647,5,1,14220500.354966657
1807,5,4,5791093.513353416
4434,3,1,13482285.841572452
4483,1,2,13559655.838113803
2826,5,1,8758806.527529825
1981,5,1,6222182.065144799
3359,2,5,10327322.798445232
2849,1,4,8716292.904318022
1694,3,1,5262777.090525051
3842,1,1,11605102.539034422
2292,2,5,7126187.508133183
3040,1,1,9200585.888550837
2291,1,5,7072986.206060765
2155,3,5,6764360.179429155
4485,5,4,13824196.693012372
1097,4,2,3550717.7893603975
1255,1,1,3844823.358467294
3485,1,4,10625949.613655908
1331,1,2,4102310.889388391
1417,1,2,4360840.853088174
4183,1,1,12628322.154209193
2528,2,5,7833981.610827648
3120,2,5,9610092.197345814
4673,1,5,14218245.403946584
1915,3,5,6044884.243319424
4922,4,5,15115191.683568645
4305,5,1,13195241.042417154
3082,2,3,9436901.48271732
1150,4,1,3680818.0307127675
4803,4,5,14759560.53624584
2345,3,5,7334283.969069527
1892,4,2,5936706.977798385
3647,2,5,11190022.944545265
1567,2,5,4950392.127756451
2224,2,5,6921176.776726176
4265,1,3,12934721.62211324
2177,2,4,6750723.637565806
3625,4,3,11165871.89719621
1726,2,3,5368130.775543577
4119,1,3,12497926.989552816
1154,2,1,3591530.7846782557
1407,1,3,4360608.049792693
4139,2,2,12576927.53456761
4701,4,2,14363205.226828698
3810,1,4,11600384.503707143
4338,5,5,13413287.179381462
2837,5,1,8791873.965277145
3235,4,3,9994864.888079075
2142,4,3,6715481.308847091
1336,5,1,4287161.598646426
3843,1,2,11639721.55878785
3783,4,2,11609906.96660685
3377,3,1,10311387.343794877
1682,3,2,5256772.5001608245
1910,3,5,6029186.774075131
1838,2,2,5674397.8001168035
4668,1,4,14174050.248098433
1501,4,2,4763084.142442135
4491,2,2,13632299.519646171
2637,1,5,8111525.073858924
1274,3,2,4032149.2940368997
4007,4,4,12340945.69092977
2941,2,1,8952712.151552526
3427,2,5,10530803.478439463
1727,5,2,5490436.016702073
